articulo,all_text,link
ARTÍCULO 2.1.5.1. CONDICIONES PARA EL USO Y CIRCULACIÓN DE DATOS PERSONALES.,ARTÍCULO 2.1.5.1. CONDICIONES PARA EL USO Y CIRCULACIÓN DE DATOS PERSONALES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.1.5.2. REPORTE DE INFORMACIÓN ANTE CENTRALES DE RIESGO.,ARTÍCULO 2.1.5.2. REPORTE DE INFORMACIÓN ANTE CENTRALES DE RIESGO. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.2.8.1. RESPONSABILIDAD DEL OPERADOR. ,ARTÍCULO 2.2.8.1. RESPONSABILIDAD DEL OPERADOR. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.2.8.2. EXONERACIÓN DE RESPONSABILIDAD. ,ARTÍCULO 2.2.8.2. EXONERACIÓN DE RESPONSABILIDAD. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.2.8.3. INDEMNIZACIONES. ,ARTÍCULO 2.2.8.3. INDEMNIZACIONES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.2.8.4. DEVOLUCIÓN DE LA INDEMNIZACIÓN. ,ARTÍCULO 2.2.8.4. DEVOLUCIÓN DE LA INDEMNIZACIÓN. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.3.1.1. OBJETO. ,ARTÍCULO 2.3.1.1. OBJETO. <Capítulo derogado por el artículo 19 de la Resolución 5929 de 2020> ,https://normograma.info/crc/docs/resolucion_crc_5929_2020.htm#19
ARTÍCULO 2.3.2.1. TIPOS DE COMPENSACIÓN AUTOMÁTICA POR DEFICIENTE PRESTACIÓN DEL SERVICIO DE VOZ A TRAVÉS DE REDES MÓVILES. ,ARTÍCULO 2.3.2.1. TIPOS DE COMPENSACIÓN AUTOMÁTICA POR DEFICIENTE PRESTACIÓN DEL SERVICIO DE VOZ A TRAVÉS DE REDES MÓVILES. <Capítulo derogado por el artículo 19 de la Resolución 5929 de 2020> ,https://normograma.info/crc/docs/resolucion_crc_5929_2020.htm#19
ARTÍCULO 2.3.2.2. APLICACIÓN ALTERNATIVA DE LA COMPENSACIÓN AUTOMÁTICA PROMEDIO. ,ARTÍCULO 2.3.2.2. APLICACIÓN ALTERNATIVA DE LA COMPENSACIÓN AUTOMÁTICA PROMEDIO. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
ARTÍCULO 2.3.2.3. DEBER DE INFORMACIÓN DEL MECANISMO DE COMPENSACIÓN AUTOMÁTICA POR DEFICIENTE PRESTACIÓN DE SERVICIOS DE VOZ A TRAVÉS DE REDES MÓVILES. ,ARTÍCULO 2.3.2.3. DEBER DE INFORMACIÓN DEL MECANISMO DE COMPENSACIÓN AUTOMÁTICA POR DEFICIENTE PRESTACIÓN DE SERVICIOS DE VOZ A TRAVÉS DE REDES MÓVILES. <Artículo derogado por el artículo 80 de la Resolución 5586 de 2019> ,https://normograma.info/crc/docs/resolucion_crc_5586_2019.htm#80
